PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
13,415.679,-456.049,1400,0.223412,2.53309,3.43558
13,238.101,-321.696,1400,1.46488,2.19166,5.20759
-13,192.69,-96.4305,1400,1.30611,2.46584,1.8227
-13,306.314,-376.461,1400,5.62664,2.4684,6.06613
13,-162.64,-448.069,1400,1.15256,2.47238,5.33684
13,114.205,247.427,1400,4.63696,2.49958,0.290964
-13,-442.563,82.03,1400,0.234816,2.83788,0.238604
-13,424.66,-361.875,1400,1.97002,2.51868,1.27368
13,-77.666,331.449,1400,2.33369,2.96644,3.06982
13,-417.908,21.9047,1400,8.28923,2.09885,3.29381
13,-9.57017,440.14,1400,0.346602,2.06814,3.66572
13,0.423444,-276.085,1400,2.2397,2.5798,0.12752
13,-477.882,-263.018,1400,62.7364,2.10027,2.25313
13,345.269,-1.10623,1400,17.7833,2.58754,3.18767
-13,181.548,-308.868,1400,0.979121,3.01132,2.19072
13,78.575,-132.683,1400,0.748959,2.18189,5.07987
-13,314.896,-438.988,1400,1.01169,2.2754,5.66737
13,-188.377,-406.149,1400,0.783716,2.62317,3.32019
13,58.1437,-481.314,1400,0.404402,2.78082,2.0973
-13,422.619,162.13,1400,0.441107,2.31003,3.96041
13,-280.717,17.9827,1400,1.0219,2.28797,5.4368
-13,60.3483,471.427,1400,31.0727,2.3114,2.916
13,87.0861,48.0678,1400,4.69056,2.30181,3.36737
13,-87.1071,-20.3343,1400,1.64503,2.88777,1.17907
13,-456.96,247.225,1400,2.1067,2.9156,1.81461
13,-496.98,70.7553,1400,1.05226,2.43044,2.6562
13,-301.114,-442.509,1400,1.21004,2.52365,0.517086
13,-363.943,384.312,1400,8.82366,2.77804,5.03018
13,211.215,-185.732,1400,34.0088,2.29083,2.12166
13,-237.551,-4.4485,1400,0.710821,2.90818,0.225482
-13,-68.8218,-347.561,1400,11.0947,1.85099,2.34358
13,-45.2463,34.5743,1400,5.30879,2.59903,1.66129
-13,90.5069,-222.412,1400,1.15027,3.0365,4.22187
