event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
7699,13,484.228,-127.511,1150.5,0.898362,1,1
7701,13,301.084,-216.104,1300.5,0.583427,1,4
7701,13,232.361,-197.885,1250.5,0.873648,1,3
7701,13,163.621,-179.588,1200.5,1.16397,1,2
7701,13,94.8194,-161.3,1150.5,1.45445,1,1
7701,13,26.1648,-143.052,1100.5,1.7445,1,0
7702,-13,-396.874,363,1300.5,0.346298,1,4
7702,-13,-385.312,362.238,1250.5,0.518591,1,3
7702,-13,-373.837,361.461,1200.5,0.69082,1,2
7702,-13,-362.357,360.673,1150.5,0.863054,1,1
7702,-13,-350.887,359.857,1100.5,1.03528,1,0
7703,-13,-92.7834,228.901,1300.5,0.612871,1,4
7703,-13,-16.8746,238.041,1250.5,0.917676,1,3
7703,-13,58.9968,247.117,1200.5,1.22236,1,2
7703,-13,134.822,256.258,1150.5,1.52693,1,1
7703,-13,210.666,265.406,1100.5,1.83156,1,0
7704,13,362.591,427.803,1300.5,0.34472,1,4
7704,13,351.883,433.179,1250.5,0.516225,1,3
7704,13,341.171,438.547,1200.5,0.687731,1,2
7704,13,330.463,443.914,1150.5,0.859234,1,1
7704,13,319.752,449.279,1100.5,1.03074,1,0
7705,13,-122.142,-384.121,1300.5,0.34983,1,4
7705,13,-119.82,-369.638,1250.5,0.523918,1,3
7705,13,-117.51,-355.167,1200.5,0.697993,1,2
7705,13,-115.195,-340.672,1150.5,0.872091,1,1
7705,13,-112.907,-326.168,1100.5,1.04619,1,0
7705,13,7.67246,239.336,-1099.5,8.66906,0,0
7705,13,8.02341,250.816,-1149.5,8.84189,0,1
7705,13,8.32019,262.265,-1199.5,9.01469,0,2
7705,13,8.55047,273.736,-1249.5,9.18751,0,3
7705,13,8.73506,285.246,-1299.5,9.36036,0,4
7706,13,287.34,-184.665,1300.5,0.402551,1,4
7706,13,280.933,-154.185,1250.5,0.60299,1,3
7706,13,274.532,-123.841,1200.5,0.803184,1,2
7706,13,268.26,-93.3117,1150.5,1.00367,1,1
7706,13,262.039,-62.66,1100.5,1.20436,1,0
7707,-13,-339.883,-355.5,1300.5,0.428466,1,4
7707,-13,-371.967,-379.043,1250.5,0.641674,1,3
7707,-13,-404.042,-402.548,1200.5,0.854816,1,2
7707,-13,-436.094,-426.06,1150.5,1.06793,1,1
7707,-13,-468.156,-449.593,1100.5,1.28109,1,0
7708,-13,-469.005,-373.98,1300.5,0.35421,1,4
7708,-13,-483.446,-367.851,1250.5,0.527232,1,3
7708,-13,-483.477,-367.838,1250.39,0.530386,1,3
7708,-13,-497.969,-361.734,1200.5,0.706637,1,2
7709,-13,109.52,429.96,1300.5,0.431728,1,4
7709,-13,78.836,427.115,1250.5,0.646843,1,3
7709,-13,47.9044,424.046,1200.5,0.862544,1,2
7709,-13,16.9561,420.932,1150.5,1.07835,1,1
7709,-13,-13.631,418.457,1100.5,1.29341,1,0
7710,-13,247.196,-75.5807,1300.5,0.384556,1,4
7710,-13,247.38,-75.744,1300.07,0.386754,1,4
7710,-13,268.662,-94.5602,1250.5,0.579117,1,3
7710,-13,290.131,-113.532,1200.5,0.771479,1,2
7710,-13,311.661,-132.518,1150.5,0.963933,1,1
7710,-13,333.109,-151.591,1100.5,1.15314,1,0
7710,-13,333.177,-151.652,1100.34,1.15638,1,0
7711,13,194.542,-91.732,1300.5,0.42807,1,4
7711,13,216.449,-58.6481,1250.5,0.641009,1,3
7711,13,238.366,-25.5522,1200.5,0.85398,1,2
7711,13,260.298,7.53923,1150.5,1.06696,1,1
7711,13,282.241,40.6296,1100.5,1.27995,1,0
7712,13,-166.859,-383.112,1300.5,0.359644,1,4
7712,13,-182.142,-372.895,1250.5,0.538509,1,3
7712,13,-197.426,-362.602,1200.5,0.717429,1,2
7712,13,-212.787,-352.291,1150.5,0.896435,1,1
7712,13,-228.253,-341.97,1100.5,1.07555,1,0
7713,-13,-97.818,87.5372,1300.5,0.383528,1,4
7713,-13,-96.9863,59.7839,1250.5,0.574358,1,3
7713,-13,-96.1649,32.0652,1200.5,0.76513,1,2
7713,-13,-95.3635,4.32999,1150.5,0.95593,1,1
7713,-13,-94.5545,-23.4296,1100.5,1.14677,1,0
7714,-13,124.869,-147.338,1300.5,0.336822,1,4
7714,-13,120.868,-148.25,1250.5,0.504388,1,3
7714,-13,116.848,-149.186,1200.5,0.671961,1,2
7714,-13,112.82,-150.139,1150.5,0.839537,1,1
7714,-13,108.781,-151.033,1100.5,1.00711,1,0
7714,-13,-84.2022,-141.277,-1099.5,8.39397,0,0
7714,-13,-89.0054,-139.309,-1149.5,8.56174,0,1
7714,-13,-89.0829,-139.278,-1150.31,8.56238,0,1
7714,-13,-93.7991,-137.479,-1199.5,8.73078,0,2
7714,-13,-98.5558,-135.64,-1249.5,8.89916,0,3
7714,-13,-103.312,-133.885,-1299.5,9.06754,0,4
7716,-13,-62.9301,-262.838,1300.5,0.350262,1,4
7716,-13,-50.1564,-267.623,1250.5,0.524548,1,3
7716,-13,-37.4645,-272.493,1200.5,0.698792,1,2
7716,-13,-24.9919,-277.302,1150.5,0.872835,1,1
7716,-13,-12.5801,-282.057,1100.5,1.04682,1,0
7717,13,218.961,-71.4228,1300.5,0.516882,1,4
7717,13,226.459,-129.635,1250.5,0.774088,1,3
7717,13,233.987,-187.858,1200.5,1.03133,1,2
7717,13,241.501,-246.069,1150.5,1.28854,1,1
7717,13,249.018,-304.282,1100.5,1.54575,1,0
7718,13,8.02535,-231.589,1300.5,0.376606,1,4
7718,13,25.666,-249.784,1250.5,0.563953,1,3
7718,13,43.3378,-267.919,1200.5,0.751265,1,2
7718,13,61.0339,-286.041,1150.5,0.938592,1,1
7718,13,78.6966,-304.196,1100.5,1.12592,1,0
7720,13,9.30311,128.95,1300.5,0.370387,1,4
7720,13,2.8267,106.687,1250.5,0.554521,1,3
7720,13,-3.62905,84.4091,1200.5,0.738671,1,2
7720,13,-10.1045,62.1707,1150.5,0.922773,1,1
7720,13,-16.5893,39.8788,1100.5,1.10695,1,0
7721,-13,424.133,293.336,1300.5,0.407734,1,4
7721,-13,427.463,258.876,1250.5,0.610599,1,3
7721,-13,430.79,224.426,1200.5,0.813445,1,2
7721,-13,434.12,189.974,1150.5,1.01629,1,1
7721,-13,437.442,155.523,1100.5,1.21914,1,0
7722,13,191.297,363.685,1300.5,0.542222,1,4
7722,13,131.904,342.249,1250.5,0.812361,1,3
7722,13,72.7157,320.829,1200.5,1.08197,1,2
7722,13,13.5338,299.459,1150.5,1.35152,1,1
7722,13,-45.9009,278.321,1100.5,1.6215,1,0
